models_blast,0,1.1.1.23,1.0,0.9696969696969697,0.9846153846153847,90.0
models_blast,0,1.1.1.244,0.5,0.7,0.5833333333333334,90.0
models_blast,0,1.1.1.25,0.9848484848484849,1.0,0.9923664122137404,90.0
models_blast,0,1.1.1.251,0.8461538461538461,0.7857142857142857,0.8148148148148148,90.0
models_blast,0,1.1.1.26,0.72,0.782608695652174,0.7499999999999999,90.0
models_blast,0,1.1.1.261,1.0,1.0,1.0,90.0
models_blast,0,1.1.1.262,0.9090909090909091,0.9090909090909091,0.9090909090909091,90.0
models_blast,0,1.1.1.264,0.9285714285714286,0.8125,0.8666666666666666,90.0
models_blast,0,1.1.1.267,1.0,1.0,1.0,90.0
models_blast,0,1.1.1.268,0.3333333333333333,0.21739130434782608,0.26315789473684204,90.0
models_blast,0,1.1.1.269,0.6875,0.5789473684210527,0.6285714285714286,90.0
models_blast,0,1.1.1.27,1.0,0.9629629629629629,0.9811320754716981,90.0
models_blast,0,1.1.1.270,1.0,0.9285714285714286,0.962962962962963,90.0
models_blast,0,1.1.1.271,1.0,0.9444444444444444,0.9714285714285714,90.0
models_blast,0,1.1.1.272,0.6521739130434783,0.7894736842105263,0.7142857142857143,90.0
models_blast,0,1.1.1.274,0.35294117647058826,0.2857142857142857,0.31578947368421056,90.0
models_blast,0,1.1.1.276,0.42857142857142855,0.3,0.3529411764705882,90.0
models_blast,0,1.1.1.28,0.95,0.8260869565217391,0.8837209302325583,90.0
models_blast,0,1.1.1.281,0.6470588235294118,0.55,0.5945945945945946,90.0
models_blast,0,1.1.1.284,0.8571428571428571,0.9473684210526315,0.9,90.0
models_blast,0,1.1.1.29,0.8,0.6153846153846154,0.6956521739130435,90.0
models_blast,0,1.1.1.290,1.0,0.9285714285714286,0.962962962962963,90.0
models_blast,0,1.1.1.291,0.631578947368421,0.4,0.4897959183673469,90.0
models_blast,0,1.1.1.292,0.5,0.4117647058823529,0.45161290322580644,90.0
models_blast,0,1.1.1.298,0.6956521739130435,0.9411764705882353,0.7999999999999999,90.0
models_blast,0,1.1.1.3,1.0,1.0,1.0,90.0
models_blast,0,1.1.1.30,0.8888888888888888,0.9411764705882353,0.9142857142857143,90.0
models_blast,0,1.1.1.300,1.0,0.8518518518518519,0.92,90.0
models_blast,0,1.1.1.301,0.46153846153846156,0.46153846153846156,0.46153846153846156,90.0
models_blast,0,1.1.1.302,0.9615384615384616,0.9615384615384616,0.9615384615384616,90.0
models_blast,0,1.1.1.304,0.625,0.6666666666666666,0.6451612903225806,90.0
models_blast,0,1.1.1.306,0.9230769230769231,0.7058823529411765,0.8000000000000002,90.0
models_blast,0,1.1.1.307,0.9565217391304348,1.0,0.9777777777777777,90.0
models_blast,0,1.1.1.308,0.9523809523809523,1.0,0.975609756097561,90.0
models_blast,0,1.1.1.31,0.6875,0.6470588235294118,0.6666666666666667,90.0
models_blast,0,1.1.1.310,0.7142857142857143,0.625,0.6666666666666666,90.0
models_blast,0,1.1.1.311,0.6875,0.5789473684210527,0.6285714285714286,90.0
models_blast,0,1.1.1.312,0.6666666666666666,0.6,0.631578947368421,90.0
models_blast,0,1.1.1.313,0.7222222222222222,0.6190476190476191,0.6666666666666666,90.0
models_blast,0,1.1.1.317,0.6190476190476191,0.9285714285714286,0.742857142857143,90.0
models_blast,0,1.1.1.320,1.0,0.9,0.9473684210526316,90.0
models_blast,0,1.1.1.328,0.6875,0.7857142857142857,0.7333333333333334,90.0
models_blast,0,1.1.1.330,0.9411764705882353,1.0,0.9696969696969697,90.0
models_blast,0,1.1.1.333,0.95,1.0,0.9743589743589743,90.0
models_blast,0,1.1.1.336,0.7142857142857143,0.8823529411764706,0.7894736842105262,90.0
models_blast,0,1.1.1.338,0.7777777777777778,0.9545454545454546,0.8571428571428572,90.0
models_blast,0,1.1.1.34,0.9473684210526315,1.0,0.972972972972973,90.0
models_blast,0,1.1.1.340,0.7083333333333334,0.8947368421052632,0.7906976744186046,90.0
models_blast,0,1.1.1.343,0.9285714285714286,1.0,0.962962962962963,90.0
models_blast,0,1.1.1.346,0.6,0.6818181818181818,0.6382978723404256,90.0
models_blast,0,1.1.1.35,0.9047619047619048,0.95,0.9268292682926829,90.0
models_blast,0,1.1.1.36,1.0,0.88,0.9361702127659575,90.0
models_blast,0,1.1.1.361,0.8421052631578947,0.6153846153846154,0.7111111111111111,90.0
models_blast,0,1.1.1.368,0.9411764705882353,1.0,0.9696969696969697,90.0
models_blast,0,1.1.1.37,0.9714285714285714,0.9855072463768116,0.9784172661870504,90.0
models_blast,0,1.1.1.370,0.5,0.3333333333333333,0.4,90.0
models_blast,0,1.1.1.371,0.5294117647058824,0.75,0.6206896551724139,90.0
models_blast,0,1.1.1.38,0.8148148148148148,0.9166666666666666,0.8627450980392156,90.0
models_blast,0,1.1.1.385,0.45,0.32142857142857145,0.375,90.0
models_blast,0,1.1.1.388,1.0,0.9375,0.967741935483871,90.0
models_blast,0,1.1.1.4,0.7647058823529411,0.7647058823529411,0.7647058823529412,90.0
models_blast,0,1.1.1.40,0.8695652173913043,0.8,0.8333333333333333,90.0
models_blast,0,1.1.1.405,1.0,1.0,1.0,90.0
models_blast,0,1.1.1.408,0.8636363636363636,0.9047619047619048,0.8837209302325582,90.0
models_blast,0,1.1.1.41,0.9473684210526315,0.75,0.8372093023255814,90.0
models_blast,0,1.1.1.42,1.0,1.0,1.0,90.0
models_blast,0,1.1.1.44,1.0,0.9444444444444444,0.9714285714285714,90.0
models_blast,0,1.1.1.47,0.631578947368421,0.5217391304347826,0.5714285714285715,90.0
models_blast,0,1.1.1.48,0.72,0.782608695652174,0.7499999999999999,90.0
models_blast,0,1.1.1.49,0.9629629629629629,0.9629629629629629,0.9629629629629629,90.0
models_blast,0,1.1.1.50,0.6521739130434783,0.625,0.6382978723404256,90.0
models_blast,0,1.1.1.51,0.8571428571428571,0.75,0.7999999999999999,90.0
models_blast,0,1.1.1.53,0.6296296296296297,0.85,0.723404255319149,90.0
models_blast,0,1.1.1.56,0.8,0.8,0.8000000000000002,90.0
models_blast,0,1.1.1.57,0.875,0.7777777777777778,0.823529411764706,90.0
models_blast,0,1.1.1.58,1.0,0.9375,0.967741935483871,90.0
models_blast,0,1.1.1.6,0.9166666666666666,0.7857142857142857,0.8461538461538461,90.0
models_blast,0,1.1.1.60,0.65,0.6190476190476191,0.6341463414634146,90.0
models_blast,0,1.1.1.62,0.7692307692307693,0.5882352941176471,0.6666666666666667,90.0
models_blast,0,1.1.1.65,0.9130434782608695,0.8076923076923077,0.8571428571428572,90.0
models_blast,0,1.1.1.67,0.7777777777777778,0.7,0.7368421052631577,90.0
models_blast,0,1.1.1.69,0.9473684210526315,0.782608695652174,0.8571428571428571,90.0
models_blast,0,1.1.1.77,1.0,0.6818181818181818,0.8108108108108109,90.0
models_blast,0,1.1.1.79,0.7272727272727273,0.5925925925925926,0.6530612244897959,90.0
models_blast,0,1.1.1.8,1.0,1.0,1.0,90.0
models_blast,0,1.1.1.81,0.6666666666666666,0.6,0.631578947368421,90.0
models_blast,0,1.1.1.82,1.0,0.95,0.9743589743589743,90.0
models_blast,0,1.1.1.83,0.631578947368421,0.6666666666666666,0.6486486486486486,90.0
models_blast,0,1.1.1.85,1.0,0.9772727272727273,0.9885057471264368,90.0
models_blast,0,1.1.1.86,0.9864864864864865,1.0,0.9931972789115647,90.0
models_blast,0,1.1.1.87,0.6875,0.9565217391304348,0.8,90.0
models_blast,0,1.1.1.88,1.0,0.9523809523809523,0.975609756097561,90.0
models_blast,0,1.1.1.9,0.9166666666666666,0.9565217391304348,0.9361702127659574,90.0
models_blast,0,1.1.1.90,0.7857142857142857,0.8461538461538461,0.8148148148148148,90.0
models_blast,0,1.1.1.91,0.6956521739130435,0.8,0.7441860465116279,90.0
models_blast,0,1.1.1.93,0.625,0.45454545454545453,0.5263157894736842,90.0
models_blast,0,1.1.1.94,0.9857142857142858,1.0,0.9928057553956835,90.0
models_blast,0,1.1.1.95,0.6111111111111112,0.7857142857142857,0.6875000000000001,90.0
models_blast,0,1.1.2.3,0.6470588235294118,0.6470588235294118,0.6470588235294118,90.0
models_blast,0,1.1.2.4,0.75,0.6428571428571429,0.6923076923076924,90.0
models_blast,0,1.1.2.7,1.0,0.8571428571428571,0.923076923076923,90.0
models_blast,0,1.1.2.8,0.5625,0.5625,0.5625,90.0
models_blast,0,1.1.3.10,0.8823529411764706,1.0,0.9375,90.0
models_blast,0,1.1.3.15,0.5625,0.47368421052631576,0.5142857142857142,90.0
models_blast,0,1.1.3.20,0.9565217391304348,1.0,0.9777777777777777,90.0
models_blast,0,1.1.3.21,0.9090909090909091,0.9523809523809523,0.9302325581395349,90.0
models_blast,0,1.1.3.37,1.0,0.9473684210526315,0.972972972972973,90.0
models_blast,0,1.1.3.41,1.0,0.9444444444444444,0.9714285714285714,90.0
models_blast,0,1.1.3.46,0.7647058823529411,0.8125,0.787878787878788,90.0
models_blast,0,1.1.3.6,0.9285714285714286,0.9285714285714286,0.9285714285714286,90.0
models_blast,0,1.1.3.8,0.9473684210526315,0.8571428571428571,0.9,90.0
models_blast,0,1.1.3.9,0.8888888888888888,0.9230769230769231,0.9056603773584906,90.0
models_blast,0,1.1.5.12,1.0,1.0,1.0,90.0
models_blast,0,1.1.5.2,0.8823529411764706,0.7894736842105263,0.8333333333333333,90.0
models_blast,0,1.1.5.3,0.8571428571428571,1.0,0.923076923076923,90.0
models_blast,0,1.1.5.4,1.0,1.0,1.0,90.0
models_blast,0,1.1.5.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,90.0
models_blast,0,1.1.9.1,0.8,0.7272727272727273,0.761904761904762,90.0
models_blast,0,1.1.98.2,1.0,0.5454545454545454,0.7058823529411764,90.0
models_blast,0,1.1.98.3,1.0,0.8095238095238095,0.8947368421052632,90.0
models_blast,0,1.1.99.1,0.8235294117647058,0.7777777777777778,0.7999999999999999,90.0
models_blast,0,1.1.99.14,0.9545454545454546,0.9545454545454546,0.9545454545454546,90.0
models_blast,0,1.1.99.24,1.0,0.9565217391304348,0.9777777777777777,90.0
models_blast,0,1.1.99.28,0.5625,0.391304347826087,0.46153846153846156,90.0
models_blast,0,1.1.99.29,0.9166666666666666,0.9565217391304348,0.9361702127659574,90.0
models_blast,0,1.1.99.3,0.7222222222222222,0.8125,0.7647058823529411,90.0
models_blast,0,1.1.99.31,0.8636363636363636,0.8636363636363636,0.8636363636363636,90.0
models_blast,0,1.1.99.36,0.9393939393939394,0.9393939393939394,0.9393939393939394,90.0
models_blast,0,1.10.3.1,0.9565217391304348,0.9166666666666666,0.9361702127659574,90.0
models_blast,0,1.10.3.11,0.9629629629629629,1.0,0.9811320754716981,90.0
models_blast,0,1.10.3.2,0.8947368421052632,1.0,0.9444444444444444,90.0
models_blast,0,1.10.3.3,1.0,0.6666666666666666,0.8,90.0
models_blast,0,1.10.3.9,1.0,1.0,1.0,90.0
models_blast,0,1.11.1.1,0.9047619047619048,0.8636363636363636,0.8837209302325582,90.0
models_blast,0,1.11.1.10,0.8,0.48,0.6,90.0
models_blast,0,1.11.1.11,1.0,0.9444444444444444,0.9714285714285714,90.0
models_blast,0,1.11.1.18,0.6666666666666666,0.6,0.631578947368421,90.0
models_blast,0,1.11.1.19,0.9565217391304348,1.0,0.9777777777777777,90.0
models_blast,0,1.11.1.21,1.0,1.0,1.0,90.0
models_blast,0,1.11.1.24,0.9411764705882353,0.9696969696969697,0.955223880597015,90.0
models_blast,0,1.11.1.25,1.0,0.9523809523809523,0.975609756097561,90.0
models_blast,0,1.11.1.26,1.0,0.8636363636363636,0.9268292682926829,90.0
models_blast,0,1.11.1.27,0.9,0.9473684210526315,0.9230769230769231,90.0
models_blast,0,1.11.1.28,1.0,1.0,1.0,90.0
models_blast,0,1.11.1.5,1.0,1.0,1.0,90.0
models_blast,0,1.11.1.6,1.0,0.9259259259259259,0.9615384615384615,90.0
models_blast,0,1.11.1.7,0.9,0.8571428571428571,0.8780487804878048,90.0
models_blast,0,1.11.1.8,1.0,0.95,0.9743589743589743,90.0
models_blast,0,1.11.1.9,0.9090909090909091,0.8333333333333334,0.8695652173913043,90.0
models_blast,0,1.11.2.1,1.0,0.9411764705882353,0.9696969696969697,90.0
models_blast,0,1.11.2.4,1.0,0.9473684210526315,0.972972972972973,90.0
models_blast,0,1.12.1.2,0.9090909090909091,0.8,0.8510638297872342,90.0
models_blast,0,1.12.1.3,0.8,0.8888888888888888,0.8421052631578948,90.0
models_blast,0,1.12.2.1,0.5789473684210527,0.6470588235294118,0.6111111111111113,90.0
models_blast,0,1.12.5.1,1.0,0.9047619047619048,0.9500000000000001,90.0
models_blast,0,1.12.7.2,0.76,0.95,0.8444444444444444,90.0
models_blast,0,1.12.98.1,0.8421052631578947,0.8,0.8205128205128205,90.0
models_blast,0,1.12.98.3,1.0,0.7391304347826086,0.85,90.0
models_blast,0,1.12.98.4,0.8636363636363636,0.95,0.9047619047619048,90.0
models_blast,0,1.12.99.6,0.7777777777777778,0.875,0.823529411764706,90.0
models_blast,0,1.13.11.1,0.8571428571428571,0.8181818181818182,0.8372093023255814,90.0
models_blast,0,1.13.11.11,1.0,0.96,0.9795918367346939,90.0
models_blast,0,1.13.11.15,0.9565217391304348,1.0,0.9777777777777777,90.0
models_blast,0,1.13.11.16,1.0,0.96,0.9795918367346939,90.0
models_blast,0,1.13.11.2,0.875,0.8235294117647058,0.8484848484848485,90.0
models_blast,0,1.13.11.20,0.9,1.0,0.9473684210526316,90.0
models_blast,0,1.13.11.24,1.0,0.9090909090909091,0.9523809523809523,90.0
models_blast,0,1.13.11.27,0.9259259259259259,1.0,0.9615384615384615,90.0
models_blast,0,1.13.11.29,1.0,1.0,1.0,90.0
models_blast,0,1.13.11.3,1.0,1.0,1.0,90.0
models_blast,0,1.13.11.37,0.9047619047619048,0.9047619047619048,0.9047619047619048,90.0
models_blast,0,1.13.11.39,0.6956521739130435,0.6956521739130435,0.6956521739130435,90.0
models_blast,0,1.13.11.4,0.96,0.96,0.96,90.0
models_blast,0,1.13.11.45,0.9411764705882353,1.0,0.9696969696969697,90.0
models_blast,0,1.13.11.49,1.0,1.0,1.0,90.0
models_blast,0,1.13.11.5,0.9411764705882353,1.0,0.9696969696969697,90.0
models_blast,0,1.13.11.52,1.0,0.88,0.9361702127659575,90.0
models_blast,0,1.13.11.53,1.0,1.0,1.0,90.0
models_blast,0,1.13.11.54,1.0,1.0,1.0,90.0
models_blast,0,1.13.11.57,0.8181818181818182,0.9,0.8571428571428572,90.0
models_blast,0,1.13.11.6,1.0,1.0,1.0,90.0
models_blast,0,1.13.11.60,1.0,0.9411764705882353,0.9696969696969697,90.0
models_blast,0,1.13.11.63,0.9259259259259259,0.9615384615384616,0.9433962264150944,90.0
models_blast,0,1.13.11.79,0.9444444444444444,0.8095238095238095,0.8717948717948718,90.0
models_blast,0,1.13.11.8,0.8928571428571429,0.9259259259259259,0.9090909090909091,90.0
models_blast,0,1.13.11.9,1.0,1.0,1.0,90.0
models_blast,0,1.13.12.16,0.8571428571428571,0.8571428571428571,0.8571428571428571,90.0
models_blast,0,1.13.12.19,0.6842105263157895,0.8666666666666667,0.7647058823529413,90.0
models_blast,0,1.13.12.3,0.75,0.8,0.7741935483870969,90.0
models_blast,0,1.13.12.4,0.8636363636363636,0.95,0.9047619047619048,90.0
models_blast,0,1.13.12.7,0.8888888888888888,0.9411764705882353,0.9142857142857143,90.0
models_blast,0,1.13.99.1,1.0,0.9444444444444444,0.9714285714285714,90.0
models_blast,0,1.14.11.1,1.0,0.8947368421052632,0.9444444444444444,90.0
models_blast,0,1.14.11.16,1.0,0.7368421052631579,0.8484848484848484,90.0
models_blast,0,1.14.11.17,0.7894736842105263,0.8823529411764706,0.8333333333333333,90.0
models_blast,0,1.14.11.2,1.0,0.9583333333333334,0.9787234042553191,90.0
models_blast,0,1.14.11.20,0.9259259259259259,0.9615384615384616,0.9433962264150944,90.0
models_blast,0,1.14.11.27,1.0,0.9375,0.967741935483871,90.0
models_blast,0,1.14.11.33,0.9285714285714286,0.9629629629629629,0.9454545454545454,90.0
models_blast,0,1.14.11.4,1.0,1.0,1.0,90.0
models_blast,0,1.14.11.47,1.0,1.0,1.0,90.0
models_blast,0,1.14.11.53,1.0,1.0,1.0,90.0
models_blast,0,1.14.11.55,1.0,1.0,1.0,90.0
models_blast,0,1.14.11.66,1.0,1.0,1.0,90.0
models_blast,0,1.14.11.67,0.9629629629629629,0.9285714285714286,0.9454545454545454,90.0
models_blast,0,1.14.11.7,1.0,1.0,1.0,90.0
models_blast,0,1.14.11.8,1.0,0.9444444444444444,0.9714285714285714,90.0
models_blast,0,1.14.11.9,0.8666666666666667,0.5652173913043478,0.6842105263157895,90.0
models_blast,0,1.14.12.1,0.5217391304347826,0.6666666666666666,0.5853658536585366,90.0
models_blast,0,1.14.12.10,0.5263157894736842,0.7142857142857143,0.6060606060606061,90.0
models_blast,0,1.14.12.13,0.43478260869565216,0.5263157894736842,0.47619047619047616,90.0
models_blast,0,1.14.12.17,0.9444444444444444,0.85,0.8947368421052632,90.0
models_blast,0,1.14.12.18,0.43478260869565216,0.43478260869565216,0.43478260869565216,90.0
models_blast,0,1.14.12.19,0.5384615384615384,0.7,0.608695652173913,90.0
models_blast,0,1.14.12.7,0.7777777777777778,0.7777777777777778,0.7777777777777778,90.0
models_blast,0,1.14.13.1,0.6363636363636364,0.28,0.3888888888888889,90.0
models_blast,0,1.14.13.107,0.6956521739130435,0.6153846153846154,0.6530612244897959,90.0
models_blast,0,1.14.13.113,0.5333333333333333,0.5714285714285714,0.5517241379310344,90.0
models_blast,0,1.14.13.114,0.5652173913043478,0.7222222222222222,0.6341463414634146,90.0
models_blast,0,1.14.13.127,0.75,0.7058823529411765,0.7272727272727272,90.0
models_blast,0,1.14.13.131,0.8333333333333334,0.9090909090909091,0.8695652173913043,90.0
models_blast,0,1.14.13.149,1.0,1.0,1.0,90.0
models_blast,0,1.14.13.196,0.7647058823529411,0.8666666666666667,0.8125,90.0
models_blast,0,1.14.13.2,0.8260869565217391,0.7916666666666666,0.8085106382978724,90.0
models_blast,0,1.14.13.20,0.65,0.7647058823529411,0.7027027027027027,90.0
models_blast,0,1.14.13.208,1.0,1.0,1.0,90.0
models_blast,0,1.14.13.22,0.42105263157894735,0.3333333333333333,0.372093023255814,90.0
models_blast,0,1.14.13.225,1.0,1.0,1.0,90.0
models_blast,0,1.14.13.227,0.8235294117647058,1.0,0.9032258064516129,90.0
models_blast,0,1.14.13.239,0.9230769230769231,0.8571428571428571,0.888888888888889,90.0
models_blast,0,1.14.13.24,0.5454545454545454,0.72,0.6206896551724138,90.0
models_blast,0,1.14.13.25,0.7058823529411765,0.6,0.6486486486486486,90.0
models_blast,0,1.14.13.38,0.5384615384615384,0.3888888888888889,0.45161290322580644,90.0
models_blast,0,1.14.13.39,1.0,0.8333333333333334,0.9090909090909091,90.0
models_blast,0,1.14.13.50,0.3076923076923077,0.25,0.27586206896551724,90.0
models_blast,0,1.14.13.59,0.8181818181818182,0.8181818181818182,0.8181818181818182,90.0
models_blast,0,1.14.13.7,0.5357142857142857,0.7894736842105263,0.6382978723404255,90.0
models_blast,0,1.14.13.8,0.8333333333333334,0.7692307692307693,0.8,90.0
models_blast,0,1.14.13.81,0.9285714285714286,0.8125,0.8666666666666666,90.0
models_blast,0,1.14.13.82,0.9473684210526315,0.6923076923076923,0.7999999999999999,90.0
models_blast,0,1.14.13.83,0.9583333333333334,0.9583333333333334,0.9583333333333334,90.0
models_blast,0,1.14.13.84,0.47058823529411764,0.7272727272727273,0.5714285714285714,90.0
models_blast,0,1.14.13.9,1.0,0.9230769230769231,0.9600000000000001,90.0
models_blast,0,1.14.13.92,0.6086956521739131,0.8235294117647058,0.7,90.0
models_blast,0,1.14.14.1,0.9375,0.967741935483871,0.9523809523809523,90.0
models_blast,0,1.14.14.10,0.7058823529411765,0.8571428571428571,0.7741935483870968,90.0
models_blast,0,1.14.14.12,0.9523809523809523,0.9523809523809523,0.9523809523809523,90.0
models_blast,0,1.14.14.17,1.0,0.9545454545454546,0.9767441860465117,90.0
models_blast,0,1.14.14.18,0.96,0.96,0.96,90.0
models_blast,0,1.14.14.21,0.8571428571428571,1.0,0.923076923076923,90.0
models_blast,0,1.14.14.23,1.0,1.0,1.0,90.0
models_blast,0,1.14.14.3,0.6153846153846154,0.6956521739130435,0.6530612244897959,90.0
models_blast,0,1.14.14.46,0.85,0.8095238095238095,0.8292682926829269,90.0
models_blast,0,1.14.14.47,0.9333333333333333,1.0,0.9655172413793104,90.0
models_blast,0,1.14.14.5,0.9285714285714286,0.8125,0.8666666666666666,90.0
models_blast,0,1.14.14.9,0.8666666666666667,0.6190476190476191,0.7222222222222222,90.0
models_blast,0,1.14.15.21,1.0,0.9090909090909091,0.9523809523809523,90.0
models_blast,0,1.14.15.24,1.0,1.0,1.0,90.0
models_blast,0,1.14.15.29,0.92,0.9583333333333334,0.9387755102040817,90.0
models_blast,0,1.14.15.3,1.0,0.9583333333333334,0.9787234042553191,90.0
models_blast,0,1.14.15.30,0.9473684210526315,0.8571428571428571,0.9,90.0
models_blast,0,1.14.15.32,0.88,0.9166666666666666,0.8979591836734694,90.0
models_blast,0,1.14.15.6,1.0,0.9333333333333333,0.9655172413793104,90.0
models_blast,0,1.14.15.7,0.9523809523809523,0.8333333333333334,0.888888888888889,90.0
models_blast,0,1.14.16.1,1.0,1.0,1.0,90.0
models_blast,0,1.14.16.2,0.9565217391304348,1.0,0.9777777777777777,90.0
models_blast,0,1.14.16.4,0.875,0.9545454545454546,0.9130434782608695,90.0
models_blast,0,1.14.17.1,1.0,0.95,0.9743589743589743,90.0
